pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,month,day
SI,2024-10-03,93.9,1.97,5.93,"Peterson, David",668930,656849,grounded_into_double_play,hit_into_play,,,,,14,"Brice Turang grounds into a double play, shortstop Francisco Lindor to first baseman Pete Alonso.   Sal Frelick out at 2nd.    Brice Turang out at 1st.",F,L,L,MIL,NYM,X,6,ground_ball,0,0,2024,1.1,0.59,0.03,1.23,,,686217,1,9,Bot,114.07,149.08,,,682626,,,-7.577163653392327,-136.35305029037073,-7.855446038713775,15.432026828243163,29.35387223507045,-23.255320738452767,3.31,1.56,138,83.4,9,95.3,2152,7.1,775337,656849,682626,624413,682668,578428,596019,607043,664056,621438,53.36,0.443,0.399,0.0,1,0,0,4,71,1,Sinker,2,4,2,4,4,2,2,4,Standard,Standard,162,-0.103,-0.369,70.03883,7.04667,10,3
FF,2024-10-03,93.8,2.17,5.85,"Peterson, David",687401,656849,strikeout,swinging_strike,,,,,12,Joey Ortiz strikes out swinging.,F,R,L,MIL,NYM,S,2,,1,2,2024,0.41,1.02,0.82,3.65,,,686217,0,9,Bot,,,,,682626,,,-4.457689084531372,-136.65002013556773,-2.28584519581331,6.077566428469653,29.37662098749821,-19.03093571350659,3.35,1.48,,,,95.3,2104,7.0,775337,656849,682626,624413,682668,578428,596019,607043,664056,621438,53.48,,0.0,0.0,1,0,0,,70,5,4-Seam Fastball,2,4,2,4,4,2,2,4,Standard,Standard,139,-0.074,-0.276,71.02941,7.1641,10,3
FF,2024-10-03,96.5,2.15,5.89,"Peterson, David",687401,656849,,foul,,,,,2,Joey Ortiz strikes out swinging.,F,R,L,MIL,NYM,S,,,1,2,2024,0.12,0.89,-0.2,3.05,,,686217,0,9,Bot,,,,,682626,,,-6.613489291203791,-140.32704784811855,-4.035294512332575,3.12436972817375,32.778084097431964,-19.73830819873985,3.35,1.48,8,104.4,-19,97.7,1959,7.1,775337,656849,682626,624413,682668,578428,596019,607043,664056,621438,53.41,,,,,,,,70,4,4-Seam Fastball,2,4,2,4,4,2,2,4,Standard,Standard,152,0.0,0.0,64.58898,5.53981,10,3
CH,2024-10-03,86.7,1.8,6.02,"Peterson, David",687401,656849,,swinging_strike_blocked,,,,,14,Joey Ortiz strikes out swinging.,F,R,L,MIL,NYM,S,,,1,1,2024,1.1,0.37,0.71,0.75,,,686217,0,9,Bot,,,,,682626,,,-4.932639364924269,-125.9892242428524,-7.230081234767944,12.726967800531494,25.603333780752227,-26.93854518833636,3.35,1.48,,,,87.8,1547,7.0,775337,656849,682626,624413,682668,578428,596019,607043,664056,621438,53.45,,,,,,,,70,3,Changeup,2,4,2,4,4,2,2,4,Standard,Standard,126,0.0,-0.074,74.94736,8.60063,10,3
FF,2024-10-03,92.9,2.32,5.88,"Peterson, David",687401,656849,,called_strike,,,,,4,Joey Ortiz strikes out swinging.,F,R,L,MIL,NYM,S,,,1,0,2024,0.35,0.98,-0.49,2.31,,,686217,0,9,Bot,,,,,682626,,,-8.094122712347696,-135.0690535328618,-5.593094365555276,6.02311314545316,28.533520715716605,-19.155125553575484,3.23,1.41,,,,94.3,1961,7.1,775337,656849,682626,624413,682668,578428,596019,607043,664056,621438,53.41,,,,,,,,70,2,4-Seam Fastball,2,4,2,4,4,2,2,4,Standard,Standard,150,0.0,-0.074,,,10,3
FF,2024-10-03,93.5,2.26,5.93,"Peterson, David",687401,656849,,ball,,,,,12,Joey Ortiz strikes out swinging.,F,R,L,MIL,NYM,B,,,0,0,2024,0.36,0.96,1.58,3.2,,,686217,0,9,Bot,,,,,682626,,,-2.6161879422353005,-136.19854765721058,-3.492864797773534,5.101006567237831,29.071617816673147,-19.61213497450272,3.35,1.47,,,,95.0,1957,7.0,775337,656849,682626,624413,682668,578428,596019,607043,664056,621438,53.47,,,,,,,,70,1,4-Seam Fastball,2,4,2,4,4,2,2,4,Standard,Standard,143,0.0,0.062,,,10,3
FF,2024-10-03,94.4,1.98,6.02,"Peterson, David",686217,656849,single,hit_into_play,,,,,7,Sal Frelick singles on a line drive to left fielder Brandon Nimmo.,F,L,L,MIL,NYM,X,7,line_drive,0,1,2024,0.86,0.95,-0.29,1.86,,,,0,9,Bot,80.63,95.9,,,682626,,,-7.947088954819532,-137.14005049365997,-7.344111651349871,12.604893497929783,31.56762968738564,-18.63934194664484,3.02,1.41,218,90.6,12,95.7,2269,7.2,775337,656849,682626,624413,682668,578428,596019,607043,664056,621438,53.3,0.826,0.795,0.9,1,1,0,4,69,2,4-Seam Fastball,2,4,2,4,4,2,2,4,Standard,Standard,159,0.09,0.435,72.74705,7.5469,10,3
SI,2024-10-03,94.3,2.09,6.0,"Peterson, David",686217,656849,,called_strike,,,,,8,Sal Frelick singles on a line drive to left fielder Brandon Nimmo.,F,L,L,MIL,NYM,S,,,0,0,2024,1.1,0.66,0.16,1.64,,,,0,9,Bot,,,,,682626,,,-7.58003123931334,-136.99781407081576,-7.163708874302559,15.568320101742954,31.43088886578997,-22.464838914595877,3.23,1.52,,,,95.6,2245,7.2,775337,656849,682626,624413,682668,578428,596019,607043,664056,621438,53.27,,,,,,,,69,1,Sinker,2,4,2,4,4,2,2,4,Standard,Standard,157,0.0,-0.033,,,10,3
SL,2024-10-03,87.3,-2.71,5.53,"Ross, Joe",621438,605452,field_out,hit_into_play,,,,,9,Tyrone Taylor flies out to left fielder Jackson Chourio.,F,R,R,MIL,NYM,X,7,fly_ball,0,0,2024,0.55,0.31,0.36,2.11,,516782,,2,9,Top,30.22,106.74,,,596142,,,6.311549362798386,-127.05861066295816,-2.7020169981367164,4.565328888363396,27.110684986361385,-28.425578231489908,3.36,1.62,326,88.4,29,87.8,2040,6.7,775337,605452,596142,641343,668930,687401,642715,694192,663368,686217,53.8,0.046,0.075,0.0,1,0,0,3,68,1,Slider,2,4,4,2,4,2,4,2,Standard,Strategic,171,0.012,-0.333,70.67737,8.46326,10,3
FF,2024-10-03,94.3,-2.23,5.26,"Williams, Devin",516782,642207,single,hit_into_play,,,,,12,Starling Marte singles on a sharp ground ball to right fielder Sal Frelick.   Jesse Winker scores.    Starling Marte to 2nd.,F,R,R,MIL,NYM,X,9,ground_ball,1,2,2024,-0.86,1.38,0.93,2.62,,608385,,2,9,Top,176.53,123.12,,,596142,,,10.328682931312258,-136.9339085985143,-4.287773824371634,-13.140762729068932,30.94269579999721,-14.044442818276826,3.53,1.6,135,101.6,4,95.9,2490,7.4,775337,642207,596142,641343,668930,687401,642715,694192,663368,686217,53.1,0.554,0.532,0.9,1,1,0,4,67,4,4-Seam Fastball,2,3,3,2,4,2,4,2,Standard,Standard,218,-0.092,0.846,,,10,3
